epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,2661.46,0.45784,0.79816,0.87059,0.677,0.71043,0.68087,0.63979,0.39051,1.02819,0.82112,0.0004654,0.0004654,0.0004654
56,2709.59,0.45637,0.79919,0.87077,0.67483,0.70842,0.68679,0.66633,0.29302,0.99133,0.8215,0.0004555,0.0004555,0.0004555
57,2757.63,0.41963,0.75076,0.86394,0.67612,0.71033,0.67502,0.64193,0.29886,0.9752,0.81447,0.0004456,0.0004456,0.0004456
58,2805.27,0.4225,0.72755,0.86624,0.67554,0.71015,0.68279,0.65503,0.27309,1.02313,0.81311,0.0004357,0.0004357,0.0004357
59,2854.26,0.42238,0.77542,0.86465,0.67813,0.70835,0.68473,0.64112,0.31551,0.98568,0.81486,0.0004258,0.0004258,0.0004258
60,2903.19,0.41155,0.74254,0.86889,0.6734,0.70897,0.71779,0.69499,0.27924,0.96651,0.80556,0.0004159,0.0004159,0.0004159
61,2951.94,0.43034,0.77832,0.86535,0.67688,0.70835,0.69185,0.67911,0.2821,0.98345,0.80835,0.000406,0.000406,0.000406
62,3000.72,0.42365,0.74877,0.85512,0.68221,0.70988,0.68945,0.6811,0.24794,0.96377,0.80742,0.0003961,0.0003961,0.0003961
63,3049.35,0.40755,0.76081,0.86601,0.67411,0.71039,0.7182,0.69911,0.25901,0.9589,0.79872,0.0003862,0.0003862,0.0003862
64,3097.26,0.41307,0.75403,0.86682,0.68084,0.71025,0.70187,0.68419,0.26803,0.9569,0.80159,0.0003763,0.0003763,0.0003763
65,3148.68,0.40747,0.73802,0.8555,0.67276,0.70848,0.69947,0.67187,0.29988,0.98919,0.80545,0.0003664,0.0003664,0.0003664
66,3201.01,0.40491,0.76701,0.85881,0.68195,0.70987,0.7292,0.71075,0.26746,0.96876,0.79778,0.0003565,0.0003565,0.0003565
67,3252.95,0.41973,0.76406,0.85683,0.67422,0.71034,0.73503,0.72412,0.23958,0.9324,0.80067,0.0003466,0.0003466,0.0003466
68,3302.62,0.39461,0.71252,0.85017,0.67237,0.70908,0.74115,0.70968,0.3246,1.04315,0.80038,0.0003367,0.0003367,0.0003367
69,3351.76,0.40545,0.76199,0.86028,0.68346,0.71296,0.72178,0.71468,0.24,0.96406,0.7978,0.0003268,0.0003268,0.0003268
70,3400.47,0.39588,0.77708,0.85137,0.68833,0.70835,0.72857,0.71436,0.26664,0.92247,0.79605,0.0003169,0.0003169,0.0003169
71,3450.23,0.3856,0.7322,0.85764,0.67354,0.70915,0.70751,0.68896,0.26415,1.01797,0.7927,0.000307,0.000307,0.000307
72,3500.09,0.38517,0.72503,0.85101,0.6817,0.71184,0.71164,0.69825,0.27317,0.93902,0.7982,0.0002971,0.0002971,0.0002971
73,3548.64,0.38325,0.72611,0.85345,0.67466,0.71132,0.72462,0.71439,0.23139,0.92426,0.79663,0.0002872,0.0002872,0.0002872
74,3597.28,0.38428,0.73946,0.84735,0.6826,0.70959,0.72127,0.7087,0.24518,0.9621,0.78849,0.0002773,0.0002773,0.0002773
75,3649.1,0.3798,0.74988,0.85083,0.69527,0.71014,0.71334,0.69999,0.2593,0.91142,0.79283,0.0002674,0.0002674,0.0002674
76,3700.9,0.36617,0.70297,0.84739,0.70072,0.70895,0.71769,0.69771,0.27435,0.93103,0.79717,0.0002575,0.0002575,0.0002575
77,3754.47,0.37714,0.72371,0.85292,0.70653,0.70935,0.72351,0.70335,0.23368,0.9461,0.79626,0.0002476,0.0002476,0.0002476
78,3806.38,0.36894,0.72921,0.84976,0.70184,0.71093,0.72297,0.71074,0.26205,0.91683,0.80057,0.0002377,0.0002377,0.0002377
79,3858.9,0.36577,0.7251,0.84624,0.70214,0.67561,0.7239,0.71519,0.2103,0.88017,0.79729,0.0002278,0.0002278,0.0002278
80,3913.48,0.35638,0.70436,0.84223,0.70702,0.70871,0.74256,0.73248,0.24472,0.92768,0.78975,0.0002179,0.0002179,0.0002179
81,3964.67,0.36667,0.71166,0.8479,0.70335,0.71197,0.74827,0.73047,0.25919,0.91673,0.79113,0.000208,0.000208,0.000208
82,4016.92,0.35551,0.67971,0.84244,0.71809,0.71159,0.74221,0.73131,0.24907,0.90481,0.79358,0.0001981,0.0001981,0.0001981
83,4068.15,0.36131,0.68555,0.84796,0.71366,0.70905,0.77157,0.756,0.23627,0.9547,0.79482,0.0001882,0.0001882,0.0001882
84,4118.2,0.35928,0.70706,0.8457,0.71743,0.71001,0.77631,0.75848,0.23769,0.88254,0.79506,0.0001783,0.0001783,0.0001783
85,4168.03,0.34185,0.67581,0.84743,0.7297,0.70968,0.77479,0.76661,0.21945,0.86965,0.78829,0.0001684,0.0001684,0.0001684
86,4216.04,0.34247,0.6622,0.84154,0.73193,0.71192,0.78748,0.77721,0.22795,0.86448,0.7878,0.0001585,0.0001585,0.0001585
87,4263.26,0.35246,0.7158,0.84589,0.74204,0.73046,0.78115,0.76723,0.23439,0.86422,0.78899,0.0001486,0.0001486,0.0001486
88,4309.44,0.34187,0.66461,0.8433,0.75591,0.71597,0.79132,0.776,0.23928,0.83178,0.78934,0.0001387,0.0001387,0.0001387
89,4356.4,0.34487,0.65062,0.83733,0.76601,0.71042,0.84222,0.8358,0.19462,0.7915,0.78508,0.0001288,0.0001288,0.0001288
90,4402.25,0.33777,0.67834,0.84078,0.74369,0.79948,0.85393,0.844,0.22019,0.81152,0.78831,0.0001189,0.0001189,0.0001189
91,4448.48,0.36138,0.68235,0.82556,0.69235,0.85734,0.81928,0.80619,0.21905,0.78386,0.77656,0.000109,0.000109,0.000109
92,4495.56,0.38453,0.69444,0.82312,0.75217,0.83382,0.80128,0.78769,0.25953,0.80655,0.78023,9.91e-05,9.91e-05,9.91e-05
93,4542.97,0.36383,0.67897,0.82987,0.756,0.84642,0.83151,0.82255,0.23602,0.77257,0.78177,8.92e-05,8.92e-05,8.92e-05
94,4589.94,0.36183,0.65672,0.8189,0.75673,0.83806,0.84597,0.83145,0.24237,0.71367,0.78086,7.93e-05,7.93e-05,7.93e-05
95,4639.71,0.35123,0.68368,0.82063,0.74335,0.84964,0.84903,0.83196,0.23391,0.72569,0.78223,6.94e-05,6.94e-05,6.94e-05
96,4688.86,0.35576,0.68581,0.81992,0.7077,0.79893,0.82003,0.80188,0.23686,0.75772,0.78558,5.95e-05,5.95e-05,5.95e-05
97,4737.03,0.34203,0.69123,0.8234,0.71707,0.78671,0.80634,0.78539,0.24114,0.76907,0.78308,4.96e-05,4.96e-05,4.96e-05
98,4785.44,0.34296,0.64711,0.8248,0.78883,0.8371,0.85932,0.84907,0.22213,0.67333,0.77862,3.97e-05,3.97e-05,3.97e-05
99,4834.06,0.32851,0.67199,0.82436,0.80792,0.84923,0.87641,0.86006,0.23703,0.66579,0.78103,2.98e-05,2.98e-05,2.98e-05
100,4882.21,0.33416,0.64946,0.82309,0.81464,0.86384,0.87875,0.86149,0.2351,0.65829,0.78037,1.99e-05,1.99e-05,1.99e-05
